2025-06-11 14:24:35 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:24:35 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:24:35 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:24:39 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:24:39 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:24:39 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:25:30 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:25:30 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:25:30 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:28:44 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:28:44 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:28:44 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:28:59 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:28:59 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:28:59 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:29:01 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:29:01 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:29:01 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:29:11 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:29:11 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:29:11 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:29:47 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:29:47 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:29:47 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:30:25 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:30:25 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:30:25 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:31:01 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:31:01 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:31:01 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:31:22 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:31:22 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:31:22 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 14:36:29 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 14:36:29 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 14:36:29 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 17:07:59 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 17:07:59 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 17:07:59 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 17:33:22 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 17:33:22 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 17:33:22 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 17:47:20 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 17:47:20 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 17:47:20 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 17:47:30 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
2025-06-11 17:47:30 | INFO | pipeline_for_5:<module>:82 | 🧠 LangChain modules imported successfully
2025-06-11 17:47:30 | INFO | main:<module>:61 | 🚀 Initializing application in DEBUG mode
2025-06-11 17:55:10 | DEBUG | crud:<module>:674 | 🔧 CRUD operations debug module initialized
