2025-06-11 03:48:16 | INFO     | utils.logger | 🚀 Starting Enhanced AI Project Tracker with Pandas Analytics...
2025-06-11 03:48:16 | INFO     | utils.logger | 📁 Analyzing: ./app
2025-06-11 03:48:16 | INFO     | utils.logger | 💾 Output: ./outputs/about_project_auto_20250611_0348.txt
2025-06-11 03:48:16 | INFO     | utils.logger | Starting file loading process...
2025-06-11 03:48:20 | DEBUG    | utils.logger | Successfully loaded 41 documents
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/__init__.py: 1 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/project_tracker_vectorized.py: 277 lines, 5 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/main.py: 219 lines, 1 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/tasks/queue.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/tasks/pipeline_for_5.py: 513 lines, 5 functions, 1 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/tasks/__init__.py: 1 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/tasks/pipeline.py: 249 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/core/config.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/core/logger.py: 23 lines, 1 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/utils/__init__.py: 45 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/utils/logger.py: 39 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/utils/file.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/utils/embeddings.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/utils/debug_utils.py: 283 lines, 18 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/schemas/resume.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/schemas/jobs.py: 33 lines, 0 functions, 3 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/schemas/apply.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/db/models.py: 17 lines, 0 functions, 1 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/db/session.py: 29 lines, 1 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/db/crud.py: 385 lines, 4 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/api/__init__.py: 1 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/api/v1/resume.py: 159 lines, 3 functions, 4 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/api/v1/__init__.py: 1 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/api/v1/notify.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/api/v1/jobs.py: 143 lines, 2 functions, 3 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/api/v1/pipeline.py: 167 lines, 3 functions, 1 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/api/v1/apply.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/resume_parser.py: 17 lines, 2 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/enhanced_job_scraper.py: 85 lines, 4 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/field_mapper.py: 53 lines, 1 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/pdf_generator.py: 29 lines, 1 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/resume_tailor.py: 41 lines, 1 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/notifier.py: 0 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/__init__.py: 1 lines, 0 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/notion_logger.py: 39 lines, 2 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/form_autofiller.py: 103 lines, 2 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/form_executor.py: 13 lines, 1 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/log_formatter.py: 17 lines, 1 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/job_scraper.py: 351 lines, 13 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/file_diff.py: 27 lines, 2 functions, 0 classes
2025-06-11 03:48:20 | DEBUG    | utils.logger | Processed app/services/jd_matcher.py: 39 lines, 3 functions, 0 classes
2025-06-11 03:48:20 | INFO     | utils.logger | 📊 Loaded 41 Python files
2025-06-11 03:48:20 | INFO     | utils.logger | Starting file importance analysis...
2025-06-11 03:48:20 | DEBUG    | utils.logger | Total lines in project: 3400
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/__init__.py: Category=Configuration, Importance=0.1
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/project_tracker_vectorized.py: Category=Other, Importance=16.3
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/main.py: Category=API & Web Layer, Importance=96.6
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/tasks/queue.py: Category=Core Pipeline, Importance=0.0
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/tasks/pipeline_for_5.py: Category=Core Pipeline, Importance=528.1
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/tasks/__init__.py: Category=Core Pipeline, Importance=1.0
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/tasks/pipeline.py: Category=Core Pipeline, Importance=256.3
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/core/config.py: Category=Infrastructure, Importance=0.0
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/core/logger.py: Category=Infrastructure, Importance=5.4
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/utils/__init__.py: Category=Infrastructure, Importance=10.6
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/utils/logger.py: Category=Infrastructure, Importance=9.2
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/utils/file.py: Category=Infrastructure, Importance=0.0
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/utils/embeddings.py: Category=Infrastructure, Importance=0.0
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/utils/debug_utils.py: Category=Infrastructure, Importance=66.6
2025-06-11 03:48:20 | DEBUG    | utils.logger | Analyzed app/schemas/resume.py: Category=Configuration, Importance=0.0
